run_id,hostname,suite_type,test_name,benchmark_name,dataset,metric,pg_parallel_workers,top,m,ef_construction,ef_search,lists,sampling_factor,nprob,epsilon,residual_quantization,build_threads,load_time_s,clustering_time,index_build_time_s,index_size,recall,qps,p50_latency_ms,p99_latency_ms
20260129134130,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-5m-190-35000-test-ip,10-20-1.5,laion-5m-test-ip,dot,32,10,N/A,N/A,N/A,"[190, 35000]",256,"10,20",1.5,True,N/A,67,72.73s,128,21 GB,0.88751,911.2252418311541,1.065188436768949,1.4297928079031417
20260129134130,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-5m-190-35000-test-ip,10-20-1.9,laion-5m-test-ip,dot,32,10,N/A,N/A,N/A,"[190, 35000]",256,"10,20",1.9,True,N/A,67,72.73s,128,21 GB,0.89134,888.3677882466217,1.0891640558838844,1.5219699777662756
20260129134130,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-5m-190-35000-test-ip,15-30-1.0,laion-5m-test-ip,dot,32,10,N/A,N/A,N/A,"[190, 35000]",256,"15,30",1.0,True,N/A,67,72.73s,128,21 GB,0.90352,755.1815282093323,1.2950515374541283,1.7272067232988817
20260129134130,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-5m-190-35000-test-ip,15-30-1.5,laion-5m-test-ip,dot,32,10,N/A,N/A,N/A,"[190, 35000]",256,"15,30",1.5,True,N/A,67,72.73s,128,21 GB,0.91713,734.7727417932816,1.3230465119704604,1.780188316479327
20260129134130,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-5m-190-35000-test-ip,15-30-1.9,laion-5m-test-ip,dot,32,10,N/A,N/A,N/A,"[190, 35000]",256,"15,30",1.9,True,N/A,67,72.73s,128,21 GB,0.92116,720.8789771440781,1.3529700227081776,1.8226403812877856
20260129134130,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-5m-190-35000-test-ip,20-40-1.0,laion-5m-test-ip,dot,32,10,N/A,N/A,N/A,"[190, 35000]",256,"20,40",1.0,True,N/A,67,72.73s,128,21 GB,0.91808,640.0058803240322,1.5360694378614426,1.9251726032234733
20260129134130,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-5m-190-35000-test-ip,20-40-1.5,laion-5m-test-ip,dot,32,10,N/A,N/A,N/A,"[190, 35000]",256,"20,40",1.5,True,N/A,67,72.73s,128,21 GB,0.93219,620.1285503347938,1.5841205604374409,2.0109405159018947
20260129134130,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-5m-190-35000-test-ip,20-40-1.9,laion-5m-test-ip,dot,32,10,N/A,N/A,N/A,"[190, 35000]",256,"20,40",1.9,True,N/A,67,72.73s,128,21 GB,0.9367,598.1038225637433,1.6364664770662785,2.150041644927115
20260129134130,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-5m-190-35000-test-ip,25-50-1.0,laion-5m-test-ip,dot,32,10,N/A,N/A,N/A,"[190, 35000]",256,"25,50",1.0,True,N/A,67,72.73s,128,21 GB,0.92706,545.3103936936817,1.802858547307551,2.288892627693713
20260129134130,hot-ready-ubuntu-rxt6000-1-dtpm-gpu01,pgpu,pgpu-laion-5m-190-35000-test-ip,25-50-1.5,laion-5m-test-ip,dot,32,10,N/A,N/A,N/A,"[190, 35000]",256,"25,50",1.5,True,N/A,67,72.73s,128,21 GB,0.94162,535.476982389135,1.8394900253042579,2.2716219327412555
