,,dataset,Sys. Mem.,shared_buffers,extension,ef_search/nprobes,recall,qps
,,laion-100m-test-ip,256GB,200GB,vc,40,0.9435,151.0886
,,laion-100m-test-ip,256GB,200GB,vc,50,0.9515,141.6126
,,laion-100m-test-ip,256GB,200GB,vc,100,0.9653,94.6233
,,laion-100m-test-ip,256GB,200GB,vc,200,0.9737,66.3231
,,laion-100m-test-ip,512GB,400GB,vc,20,0.9126,79.2376
,,laion-100m-test-ip,512GB,400GB,vc,30,0.9331,137.8845
,,laion-100m-test-ip,512GB,400GB,vc,40,0.9435,131.915
,,laion-100m-test-ip,512GB,400GB,vc,50,0.9515,127.536
,,laion-100m-test-ip,512GB,400GB,vc,100,0.9653,84.2716
,,laion-100m-test-ip,512GB,400GB,vc,200,0.9737,58.9042
